Author,Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language
Ashish Maharishi,8th Jan 2021,https://www.vishvasnews.com/politics/the-picture-of-a-religious-place-at-prayagraj-railway-station-was-viral-describing-it-as-delhi/,Fact Check : प्रयागराज रेलवे स्‍टेशन पर मौजूद धार्मिक स्‍थल की तस्‍वीर को दिल्‍ली का बताकर किया गया वायरल,https://www.facebook.com/nagendra.patel.3557440/posts/1086125305133525,फेसबुक यूजर नागेंद्र पटेल,ये मस्जिद पुरानी दिल्ली रेलवे स्टेशन के प्लेटफॉर्म पर है,Communal ,Anti Muslim,Hindi
Ashish Maharishi,8th Jan 2021,https://www.vishvasnews.com/politics/fact-check-congress-leader-digvijay-singh-did-not-tweet-about-corona-vaccine-it-is-fake/,"Fact Check : कोरोना वैक्‍सीन को लेकर यह ट्वीट दिग्विजय सिंह ने नहीं किया, यह फेक है",https://www.facebook.com/girish.suchak.9/posts/1312908282396091,फेसबुक यूजर गिरीश सूचक,वैक्‍सीन लगाने से प्रजनन शक्ति कमजोर होगी..दिग्विजय सिंह,Covid,Digvijay Singh,Hindi
Umam Noor,7th Jan 2021,https://www.vishvasnews.com/politics/fact-check-boris-jonsons-visit-to-india-was-canceled-not-because-of-farmer-protest-but-of-new-corona-strain-in-uk/,Fact Check: ब्रिटेन के प्रधानमंत्री बोरिस जोंसन का भारत दौरा किसान आंदोलन नहीं बल्कि यूके में नए कोरोना स्ट्रेन वजह से रद्द हुआ,https://archive.md/wip/hsxR4,Mohd Aamir, किसान आंदोलन की अंतरराष्ट्रीय मंच पर बड़ी जीत ब्रिटेन के पीएम ने गणतंत्र दिवस पर होने वाला भारतीय दौरा रद्द किया,farmers protest,boris jonsons,Hindi
Amanpreet Kaur,7th Jan 2021,https://www.vishvasnews.com/viral/fact-check-viral-image-is-not-from-singhu-border/,Fact Check: साल 2013 की कुंभ मेले की तस्वीर को सिंघु बॉर्डर पर चल रहे किसान आंदोलन से जोड़कर किया वायरल,https://perma.cc/FD85-L9LP,FB Page: Citindia News,सिंघु बॉर्डर पर किसान आंदोलन की तस्वीर,Farmers Protest,Singhu Border,Hindi
Abbinaya Kuzhanthaivel,7th Jan 2021,https://www.vishvasnews.com/viral/fact-check-npci-has-not-imposed-30-percent-transaction-charge-on-upi-payments/,"Fact Check: यूपीआई पेमेंट करने पर नहीं चुकाना है 30 प्रतिशत ट्रांजेक्शन चार्ज, वायरल पोस्ट फर्जी है",https://www.facebook.com/philiphs.jp/posts/3609887915771059,FB User : Philiphs Jp,"गूगल पे, फोन पे से पेमेंट करने पर 30 प्रतिशत का ट्रांजेक्शन चार्ज चुकाना होगा।",Transaction charges,UPI,Hindi
ameesh rai,7th Jan 2021,https://www.vishvasnews.com/viral/fact-check-this-is-an-imagined-cover-for-artistic-expression-not-a-national-geographic-magazine-cover-page-on-farmers-protest/,"Fact Check: यह नेशनल जियोग्राफिक मैग्जीन का कवर पेज नहीं, झूठा दावा हो रहा वायरल",https://archive.md/SVXOc,Rana Chahal,"एक तस्वीर वायरल हो रही है, जिसे नेशनल जियोग्राफिक मैग्जीन का कवर पेज बताकर शेयर किया जा रहा है",Farmer Protest,national geographic magazine,Hindi
ameesh rai,7th Jan 2021,https://www.vishvasnews.com/politics/fact-check-man-being-thrashed-in-this-video-is-not-munawar-faruqui-fake-claim-is-getting-viral/,"Fact Check: इस वीडियो में दिख रहा शख्स कॉमेडियन मुनव्वर फारूकी नहीं, वायरल दावा गलत है",https://twitter.com/BagwanMaheboob1/status/1345595582866329601,Maheboob Bagwan,यह वीडियो स्टैंड-अप कॉमेडियन मुनव्वर फारूकी की पिटाई का है।,BJP,Munawwar Farooqi,Hindi
ameesh rai,5th Jan 2021,https://www.vishvasnews.com/viral/fact-check-reliance-did-not-donate-a-solar-power-plant-to-the-ram-temple-viral-claim-is-fake/,"Fact Check: रिलायंस ने राम मंदिर को नहीं दिया सौर ऊर्जा पावर प्लांट, वायरल दावा गलत है",https://archive.md/BaMIn,Sanjeev Bansal,इस पोस्ट में दावा किया जा रहा है कि रिलायंस ने राम मंदिर को सौर ऊर्जा प्लांट भेंट किया है।,Ram Temple solar plant,Reliance,Hindi
Amanpreet Kaur,5th Jan 2021,https://www.vishvasnews.com/viral/fact-check-viral-tweet-wrongly-attributed-to-diljit-dosanjh/,Fact Check : दिलजीत दोसांझ ने नहीं किया उनके नाम से वायरल हो रहा यह ट्वीट,http://archive.today/ahmDg,FB User: Anoop Sandhu,"दिलजीत दोसांझ ने ट्वीट कर कहा काश किसानों की तरह पढ़े लिखे लोग भी सड़को पर आ जाते, न एयरपोर्ट बिकता, न रेलवे स्टेशन, न LIC, BPCL बिकती, न नौकरी जाती, न बेरोजगारी बढ़ती, न जीडीपी गिरती!",Farmers Protest,Diljit Dosanjh,Hindi
Umam Noor,5th Jan 2021,https://www.vishvasnews.com/world/fact-check-old-picture-viral-as-mandir-banao-campaign-in-pakistan/,"Fact Check: खैबर पख्तूनख्वा मामले के बाद, ‘मंदिर बनाओ’ कैंपेन के नाम से वायरल की जा रही तस्वीर पुरानी है",https://archive.md/wip/4jNPq,Haroon Rashid Bhat,Muslims in Pakistan started,Mandir Banao campaign,pakistan,Hindi
Amanpreet Kaur,5th Jan 2021,https://www.vishvasnews.com/viral/fact-check-kerala-government-has-not-banned-reliance-jio-internet-in-the-state/,"Fact Check : केरल सरकार ने राज्य में बंद नहीं की है रिलायंस जियो की इंटरनेट सर्विस, वायरल पोस्ट फर्जी है",http://archive.today/H2T0X,FB User: Akhileshwar Prasad Yadav, केरल सरकार ने राज्य में रिलायंस जियो का इंटरनेट नए साल की शुरुआत के साथ ही बैन कर दिया है और अपना फाइबर नेटवर्क शुरू कर दिया है।,Reliance Jio Internet,Kerala,Hindi
ameesh rai,4th Jan 2021,https://www.vishvasnews.com/viral/fact-check-denmark-is-not-number-one-among-worlds-happiest-country-for-2020-its-finland/,"Fact Check: दुनिया के सबसे खुशहाल देशों में डेनमार्क नहीं, फिनलैंड है नंबर 1",https://archive.md/K0bha,Rohee Khan, इस पोस्ट में डेनमार्क को दुनिया का सबसे खुशहाल देश बताया जा रहा है।,Happiest Country,Denmark,Hindi
Umam Noor,4th Jan 2021,https://www.vishvasnews.com/viral/fact-check-indian-railways-did-not-renamed-hazrat-nizamuddin-railway-station-as-maharana-pratap-expression-viral-claim-is-fake/,"Fact Check: हजरत निजामुद्दीन रेलवे स्टेशन का नाम बदलकर ‘महाराणा प्रताप एक्सप्रेशन’ नहीं रखा गया, वायरल दावा फ़र्ज़ी है",https://archive.md/hEskA,D. L. Barman Barman,भारतीय रेलवे ने हज़रत निज़ामुद्दीन का नाम बदलकर 'महाराणा प्रताप एक्सप्रेशन ' कर दिया है,renamed railway-station,hazrat nizamuddin,Hindi
Amanpreet Kaur,4th Jan 2021,https://www.vishvasnews.com/viral/fact-check-reliance-jio-is-not-giving-free-recharge-of-rs-555-viral-post-is-fake/,"Fact Check: जियो की ओर से नहीं दिया जा रहा है Rs. 555 का फ्री रिचार्ज, मैसेज फेक है",http://archive.today/2e0sO,FB page : INDIAN FREE FIRE LOVERS (MAX PRITAM),मुकेश अंबानी को पोता होने की खुशी में जियो अपने यूजर्स को 555 रुपए का रीचार्ज फ्री में दे रहा है।,Free Recharge,Mukesh Ambani,Hindi
Umam Noor,1st Jan 2021,https://www.vishvasnews.com/viral/fact-check-10-thousand-sim-cards-were-not-registered-by-a-person-named-javed-post-viral-with-misleading-communal-claims/,"Fact Check: 10 हज़ार सिम कार्ड नहीं थे एक शख्स के नाम पर रजिस्टर्ड, दो साल पुराना मामला ग़लत दावे के साथ वायरल",https://archive.md/wip/MVDBD,पंकज_राजपूत,Alert..10000 हजार सिम card एक जावेद के नाम,sim card,javed,Hindi
Jyoti,31st Dec 2022,https://www.vishvasnews.com/politics/fact-check-this-picture-of-pm-modi-and-his-mother-heeraben-is-from-ekta-yatra/,Fact Check: PM मोदी और उनकी मां हीराबेन की यह तस्वीर उनके सीएम बनने से पहले की है,https://www.facebook.com/photo/?fbid=705894620902552&set=a.622314462593902,फेसबुक पेज -His Highness कॉपी-पेस्टिया बाबा,नरेंद्र मोदी जब पहली बार गुजरात के मुख्यमंत्री बने थे तब उनके शपथ ग्रहण समारोह में माँ हीराबेन शामिल हुई थी।,PM Modi mother,Narendra Modi,Hindi
Sharad Prakash Asthana,31st Dec 2022,https://www.vishvasnews.com/viral/fact-check-kareen-kapoor-khan-has-no-twitter-account/,"Fact Chek: करीना कपूर के नाम से वायरल हो रहा ट्वीट पैरोडी अकाउंट से किया गया, ट्वटिर पर नहीं हैं मौजूद",https://www.facebook.com/permalink.php?story_fbid=pfbid0TuUAmpy8dvydsohDdpTeVRnA7cBdbWvk2LVAERAXR5X7zpjxV3ykq31TQ83waafcl&id=100070695446598,FB User- Imran Owesi,"करीना कपूर ने किया ट्वीट, जब हिन्दू सो रहा था तब सिलेंडर 380 रुपये का था, जब जाग गया है तो सिलेंडर 1155 रुपये का हो गया।",Kareena Kapoor Khan Tweet,Kareena Kapoor Khan ,Hindi
Pragya Shukla,30th Dec 2022,https://www.vishvasnews.com/health/fact-check-corona-cannot-be-prevented-through-ginger-viral-claim-is-wrong/,"Fact Check : अदरक के जरिए नहीं किया जा सकता कोरोना से बचाव, वायरल दावा गलत",https://www.facebook.com/bari.repoter.3/videos/646220573916626/?idorvanity=306064930694922,बारी रिपोर्टर,"मुबंई के जाने-माने डॉक्टर जरीर उदवाडिया हैं, जो कि कोविड से बचने का तरीका बता रहे हैं। ",Ginger Covid,doctor Zareer Udwadia,Hindi
Sharad Prakash Asthana,30th Dec 2022,https://www.vishvasnews.com/world/fact-check-ex-twitter-ceo-parag-agrawal-arrest-is-a-satire-article-not-real/,"Fact Check: ट्विटर के पूर्व सीईओ पराग अग्रवाल को नहीं किया गया गिरफ्तार, व्यंग्य को सच समझ रहे लोग",https://www.facebook.com/permalink.php?story_fbid=pfbid031r7FCfPk4tRXkmTbEjjXmPWqGkVmBrxDA81rUvCYs6WUrfTLqezPkCguFBoECboQl&id=100087107359248,FB User- Vitamin Protein,पूर्व ट्विटर सीईओ पराग अग्रवाल को चाइल्ड पोर्नोग्राफी के आरोप में गिरफ्तार कर लिया गया है।,Former Twitter CEO Arrested,Parag Agrawal,Hindi
Pragya Shukla,29th Dec 2022,https://www.vishvasnews.com/politics/fact-check-four-year-old-video-of-telangana-chief-minister-k-chandrasekhar-rao-being-shared-with-delhi-liquor-policy-scam/,Fact Check : तेलंगाना के सीएम के. चंद्रशेखर के चार साल पुराने वीडियो को दिल्ली शराब घोटाले से जोड़कर किया जा रहा शेयर,https://archive.ph/yHGFo,अनिल,के. चंद्रशेखर राव ने प्रधानमंत्री मोदी को अपना ‘अच्छा दोस्त’ बताया है। ,pm modi is my friend ,k chandrasekhar rao,Hindi
Jyoti,29th Dec 2022,https://www.vishvasnews.com/politics/fact-check-old-picture-of-former-punjab-cm-channi-and-chief-minister-bhagwant-mann-is-being-shared-as-recent/,Fact Check: पंजाब के पूर्व CM चन्नी और मुख्यमंत्री भगवंत मान की पुरानी तस्वीर हाल की बताकर की जा रही है शेयर,https://www.facebook.com/photo?fbid=179119138060350&set=a.105550325417232,Awaaz Punjab Di,पूर्व मुख्यमंत्री चरणजीत सिंह चन्नी ने की मुख्यमंत्री भगवंत सिंह मान से मुलाकात।,Charanjit singh Channi  ,Bhagwant Mann,Hindi
Sharad Prakash Asthana,29th Dec 2022,https://www.vishvasnews.com/viral/fact-check-sikkim-army-truck-accident-news-used-with-old-pakistan-accident-image/,Fact Check: सिक्किम में भारतीय सैन्य ट्रक हादसे के नाम पर पाकिस्तान की करीब साढ़े चार साल पुरानी तस्वीर वायरल,https://www.facebook.com/photo/?fbid=536321515205193&set=gm.3421400621473888&idorvanity=2625703941043564,FB User- Meraj Siddique,सिक्किम में भारतीय सैन्य ट्रक हादसे की है यह तस्वीर।,Army Truck accident in North Sikkim,NA,Hindi
Sharad Prakash Asthana,28th Dec 2022,https://www.vishvasnews.com/viral/fact-check-madhya-pradesh-rewa-accused-and-girls-are-from-same-community-no-communal-angle/,"Fact Check: रीवा मामले में युवक व युवती दोनों एक ही समुदाय के, घटना को सांप्रदायिक रंग देकर गलत दावा वायरल",https://www.facebook.com/bittu.kumarpathak.58/posts/pfbid028GQUM5GJnvvgUrfcn3ip8bFiKdNpwW2BbpW97C4pvEtxKRUKRGyxyFbH1yAgnajxl,Fb User- Bittu Kumar Pathak,वीडियो में मुस्लिम युवक हिंदू युवती को पीट रहा है।,Hate Crime,NA,Hindi
Pragya Shukla,28th Dec 2022,https://www.vishvasnews.com/viral/fact-check-this-video-is-not-of-who-but-of-world-doctors-alliance-meeting/,"Fact Check : WHO नहीं, बल्कि ‘वर्ल्ड डॉक्टर्स अलायंस’ की बैठक की है यह वीडियो",https://www.facebook.com/100068556551793/videos/1364682444071092,विमल देव बोध,डबल्यू.एच.ओ ने अपनी गलती मानी पूरी तरह से यू-टर्न लेते हुए कहा है कि कोरोना एक सीजनल वायरस है,Corona is a seasonal ,WHO,Hindi
Jyoti,28th Dec 2022,https://www.vishvasnews.com/viral/fact-check-this-link-claiming-to-give-free-oppo-mobile-is-fake/,Fact Check : फ्री ओप्पो मोबाइल देने का दावा करता ये लिंक फर्जी है,https://www.facebook.com/permalink.php?story_fbid=pfbid0yCEMzcx9ueNPeJVECbZEgB5RyPfr2DMeafBxs1jgDUP6v7LfGQTersW8tVjMavyTl&id=100066622155510,Masroor Jaan,क्विज में भाग लेकर जीते फ्री ओप्पो फोन।,Free Mobile,Oppo,Hindi
Sharad Prakash Asthana,27th Dec 2022,https://www.vishvasnews.com/viral/fact-check-fake-message-of-home-ministry-guidelines-for-covid-new-variant-viral/,"Fact Check: कोरोना पर सिर्फ सरकारी एजेंसी के सूचना दिए जाने का दावा फेक, फर्जी मैसेज फिर से वायरल",https://www.facebook.com/groups/912413509328731?multi_permalinks=1305556886681056&hoisted_section_header_type=recently_seen,FB User- Adv Karuna Shanker Pandey,"गृह मंत्रालय ने दिए निर्देश, कोरोना पर सिर्फ सरकारी एजेंसी ही पोस्ट कर सकती है और गलत पोस्ट करने पर ग्रुप एडमिन व सदस्यों पर केस दर्ज किया जाएगा।",Central Government ban Covid Related Post,NA,Hindi
Pragya Shukla,27th Dec 2022,https://www.vishvasnews.com/viral/fact-check-one-year-old-picture-of-traffic-jam-in-manali-being-shared-as-recent/,Fact Check : मनाली में लगे ट्रैफिक जाम की एक साल पुरानी तस्वीर को हाल का बताकर किया जा रहा शेयर,https://www.facebook.com/brijjesh/posts/pfbid0h9S3Up4ojem42PekRbZRCgYfPnGe51GiRMnpFbjkcc6gX75up8R3hL2fC4WivHV8l,बृजेश शुक्ला,मनाली के अटल सुरंग में लगे ट्रैफिक जाम की तस्वीर।,traffic jam manali,,Hindi
Sharad Prakash Asthana,27th Dec 2022,https://www.vishvasnews.com/politics/fact-check-viral-black-and-white-image-is-not-of-atal-bihari-vajpayee-and-his-mother/,"Fact Check: अटल बिहारी वाजपेयी की नहीं, बल्कि बिहार के समाजसेवी की है यह ब्लैक एंड व्हाइट तस्वीर",https://www.facebook.com/photo/?fbid=734057541388297&set=a.528611301932923,FB User- Ajay Kumar Saini,यह अटल बिहारी वाजपेयी और उनकी मां की तस्वीर है।,Former PM Childhood Image,Atal Bihari Bajpayee,Hindi
Sharad Prakash Asthana,26th Dec 2022,https://www.vishvasnews.com/viral/fact-check-2-bikers-pushed-ambulance-in-delhi-to-20-km-video-is-available-on-2019-on-internet/,"Fact Check: एंबुलेंस को धक्का मारकर 20 किमी तक ले जाने वाला वीडियो तीन साल से इंटरनेट पर मौजूद, हाल का नहीं",https://www.facebook.com/vikas.sane.5/videos/1549185138823395,FB User- Vikas Sane,हाल में दो बाइक सवार सिख युवकों ने मरीज को ले जा रही एंबुलेंस को 20 किमी तक धक्का दिया।,two Sikh Motorcyclists push ambulence ,NA,Hindi
Pragya Shukla,26th Dec 2022,https://www.vishvasnews.com/society/fact-check-there-is-no-change-in-the-weekly-holidays-of-up-madrassas-viral-claim-is-wrong/,"Fact Check : यूपी मदरसों के साप्ताहिक अवकाश में नहीं हुआ कोई बदलाव, वायरल दावा गलत",https://perma.cc/P6PL-6GA3,हेम प्रकाश सिंह,उत्तर प्रदेश की योगी सरकार ने मदरसों के साप्ताहिक अवकाश को बदल दिया ,weekly off UP madras,CM Yogi,Hindi
Sharad Prakash Asthana,26th Dec 2022,https://www.vishvasnews.com/viral/fact-check-pradhan-mantri-berojgari-bhatta-yojana-fake-message-viral/,"Fact Check: प्रधानमंत्री बेरोजगार भत्ता योजना 2022 के नाम से फिर वायरल हुआ फिशिंग लिंक, क्लिक करते ही हो सकते हैं ठगी के शिकार",Whatsapp,FB User- Sonu Kumar Shaw,प्रधानमंत्री बेरोजगार भत्ता योजना 2022 के तहत हर बेरोजगार को 6000 रुपये महीने दिए जाएंगे।,Pradhan Mantri Berojgar Bhatta Yojana 2022,NA,Hindi
Umam Noor,25th Dec 2022,https://www.vishvasnews.com/viral/fact-check-2021-young-mathematician-awardee-neetu-gupta-is-not-first-indian-women-to-won-this-award/,"Fact Check: नीना गुप्ता ने 2021 में जीता था यंग मैथमेटिशियन रामानुजन अवार्ड, इस इनाम को जीतने वाली पहली भारतीय महिला होने का दावा भी गलत है",https://www.facebook.com/photo/?fbid=2417450048393704&set=a.132786770193388,Roop Chand Kachhawa,गणितज्ञ नीना गुप्ता ने रामानुजन अवॉर्ड को जीता है और वह पहली भारतीय महिला हैं इस अवार्ड को जीतने वाली।,Mathematian award,Nina Gupta,Hindi
Pragya Shukla,23rd Dec 2022,https://www.vishvasnews.com/viral/fact-check-the-share-company-is-not-giving-rs-2999-to-the-countrymen-the-viral-post-is-fake/,"Fact Check: टाटा कंपनी अपनी सातवीं वर्षगांठ पर नहीं दे रही है 2,999 रुपए, वायरल पोस्ट फर्जी",https://www.facebook.com/100902666126540/photos/a.137038505846289/137038482512958/,आलिया,"टाटा कंपनी अपनी सातवीं वर्षगांठ पर दे रही है 2,999 रुपए",Tata anniversary offer.,Tata Company,Hindi
Sharad Prakash Asthana,23rd Dec 2022,https://www.vishvasnews.com/viral/fact-check-images-of-snakes-in-plane-is-of-aeromexico-flight-2016-not-of-air-india-express/,"Fact Check: विमान में सांप मिलने की ये पुरानी तस्वीरें एयरोमैक्सिको फ्लाइट की हैं, एयर इंडिया की नहीं",https://www.facebook.com/1948751018687991/photos/gm.3049207915376508/3476287649267646/,FB User- Aircraft Engineering,ये तस्वीरें एयर इंडिया के विमान में मिले सांप की हैं।,Snake found in Air India Express plane,NA,Hindi
Devika Mehta,23rd Dec 2022,https://www.vishvasnews.com/viral/fact-check-rumor-message-went-viral-on-social-media-regarding-covid-xb-statement/,Fact Check : कोविड एक्सबीबी वेरिएंट को लेकर सोशल मीडिया पर वायरल हुई भ्रामक पोस्ट,https://www.facebook.com/nikki.tamer.badwar/posts/pfbid02PvV2tNmXUEEd9DfmzoBo4o8qyDy5EDsNXeX4deJFNhQiGmEwuZ2jRtGEJs5pmvkFl,Fb User: Radha Rani,"ओमिक्रॉन एक्सबीबी, डेल्टा संस्करण की तुलना में पांच गुना ज्यादा खतरनाक है।",covid variant,NA,Hindi
Pragya Shukla,22nd Dec 2022,https://www.vishvasnews.com/viral/fact-check-tte-did-not-die-due-to-falling-of-high-tension-wire-viral-claim-is-misleading/,"Fact Check : हाईटेंशन तार गिरने से नहीं हुई टीटीई की मौत, वायरल दावा भ्रामक",https://www.facebook.com/100063922775425/videos/680461106945035,अतुल सक्सेना रिपोर्टर, रेलवे स्टेशन पर हाईटेंशन लाइन से कनेक्ट हुआ मोबाइल एयर फोन करंट के कारण शख्स की मौत।,high tension wire,tte,Hindi
Sharad Prakash Asthana,22nd Dec 2022,https://www.vishvasnews.com/politics/fact-check-former-minister-jitendra-singh-video-of-bharat-jodo-yatra-viral-with-false-claim/,"Fact Check: पूर्व केंद्रीय मंत्री जितेंद्र सिंह अपने जूते के फीते बांध रहे थे, राहुल गांधी के नहीं",https://www.facebook.com/shekharfornation/posts/pfbid0nJZCwGoofPjaGz78NtvMfXR4CAEkUMWi1os2aj7hFGRsDkCDeH18sNy7eP4mM8wvl,FB User- Shekhar Verma Jigyaasu,पूर्व केंद्रीय मंत्री जितेंद्र सिंह ने राहुल गांधी के जूते के फीते बांधे।,Former union minister tie Rahul Gandhi’s shoe lace,Bhanwar Jitendra Singh,Hindi
Pragya Shukla,22nd Dec 2022,https://www.vishvasnews.com/politics/fact-check-photo-of-cm-yogi-watching-fifa-world-cup-edited-and-shared-with-misleading-claim/,Fact Check : फीफा वर्ल्ड कप देखते सीएम योगी की तस्वीर को एडिट कर भ्रामक दावे के साथ किया जा रहा शेयर,https://www.facebook.com/photo?fbid=147445004743406&set=a.125526293601944,हिंदू शेरनी,फीफा के फाइनल मैच में शाहरुख खान को देखते हुए सीएम योगी।,fifa world cup,CM yOGI,Hindi
Devika Mehta,22nd Dec 2022,https://www.vishvasnews.com/viral/fact-check-the-man-telling-about-exercises-is-not-dr-bajaj-of-batra-hospital/,"Fact Check : हाथों के व्यायाम के बारे में बता रहे शख्स बत्रा अस्पताल के डॉक्टर बजाज नहीं, वायरल दावा भ्रामक",https://www.facebook.com/ramnarayan.vidur.5/videos/870798237286049,राम नारायण विदुर,"यह एमडी, डीएम, डॉ. बजाज हैं। इससे पहले यह बत्रा अस्पताल में कार्डियोलॉजी के प्रमुख थे। यह हर रोज सिर्फ 7 मिनट का व्यायाम करने का सुझाव दे रहे हैं।",Health and exercises,Dr Bajaj,Hindi
Sharad Prakash Asthana,21st Dec 2022,https://www.vishvasnews.com/education/fact-check-article-30a-is-not-in-indian-constitution/,Fact Check: अनुच्छेद-30ए को लेकर फिर से वायरल हुआ फर्जी दावा,https://www.facebook.com/permalink.php?story_fbid=151717874289565&id=100083540600878,FB User- Giri baba,अनुच्छेद 30ए स्कूलों में गीता पढ़ाने से रोकता है।,"Article 30, 30A in Indian Constitution ",NA,Hindi
Pragya Shukla,21st Dec 2022,https://www.vishvasnews.com/viral/fact-check-old-video-of-showroom-inauguration-in-qatar-being-shared-as-promotion-of-pathan-in-fifa/,Fact Check : कतर में शोरूम के उद्घाटन के पुराने वीडियो को FIFA में पठान के प्रमोशन का बताकर किया जा रहा शेयर,https://www.facebook.com/Gaushulshaikh01/posts/5458280244297708/,गौशूल शेख,शाहरुख खान फ़ीफ़ा वर्ल्ड कप फाइनल में,fifa world cup,shahrukh khan,Hindi
Sharad Prakash Asthana,21st Dec 2022,https://www.vishvasnews.com/viral/fact-check-pathan-movie-actor-shahrukh-khan-fake-appeal-viral-relate-to-his-house-mannat/,"Fact Check: शाहरुख खान के नाम से फिर वायरल हुआ फर्जी बयान, नहीं कहा- पठान फ्लॉप हुई तो मेरा घर बिक जाएगा",https://www.facebook.com/groups/551741722006077/posts/1671733746673530/,FB User- Parmanand Choudhary,शाहरुख खान ने अपील की है कि यदि पठान फ्लॉप हुई तो उनका घर बिक जाएगा।,Statement on Pathan Movie,Shahrukh Khan,Hindi
Umam Noor,21st Dec 2022,https://www.vishvasnews.com/world/fact-check-man-in-viral-picture-did-not-die-while-performing-namaz-in-madina/,"Fact Check: मदीना में सजदा करते वक्त नहीं हुई इस शख्स की मृत्यु, बेहोश व्यक्ति की तस्वीर भ्रामक दावे के साथ वायरल",https://www.facebook.com/photo/?fbid=734422608318043&set=gm.1239387273283104&idorvanity=920252015196633,अबरार अहमद, मदीना की मस्जिद नबवी में जुमे की नमाज के दौरान सजदे में इस शख्स की मौत हो गई,Death Rumour,Muslim,Hindi
Umam Noor,21st Dec 2022,https://www.vishvasnews.com/viral/fact-check-gadar-2-is-not-releasing-on-26-january-2022-post-is-fake/,Fact Check: पठान के बाद 26 जनवरी को गदर 2 नहीं हो रही रिलीज़,https://www.facebook.com/photo?fbid=1553290865133108&set=a.254557365006471,Anil Yadav,पठान की रिलीज़ के एक दिन बाद 26 जनवरी को सनी देओल और अमीषा पटेल की फिल्म ग़दर 2 रिलीज़ होने वाली है।,Bollywood ,Shahrukh Khan,Hindi
Jyoti,21st Dec 2022,https://www.vishvasnews.com/viral/fact-check-garlic-can-be-harmful-for-ears/,Fact Check: खतरनाक हो सकता है कान में लहसुन डालना,https://www.facebook.com/photo/?fbid=10218392967210615&set=a.10202281867563193,FB User- Pointer C Antonio,"कान में लहसुन डालने से कान का दर्द, कान का संक्रमण और सिर दर्द जल्दी ठीक हो जाता है।",Garlic remedy ,Home Remedy,Hindi
Pragya Shukla,21st Dec 2022,https://www.vishvasnews.com/politics/fact-check-seven-year-old-video-of-cm-yogi-goes-viral-again-with-misleading-claim-in-the-name-of-boycott-of-pathan-movie/,Fact Check : पठान मूवी के बहिष्कार के नाम पर फिर भ्रामक दावे के साथ वायरल हुआ सीएम योगी का सात साल पुराना वीडियो,https://perma.cc/PPC3-HF92,संकल्प सवेरा,योगी आदित्यनाथ ने की पठान मूवी के बहिष्कार की अपील,boycott pathan,CM yogi,Hindi
Sharad Prakash Asthana,20th Dec 2022,https://www.vishvasnews.com/viral/fact-check-spicejet-pilot-instructions-in-poetic-style-in-delhi-srinagar-flight/,Fact Check: स्पाइसजेट की फ्लाइट के अंदर के वीडियो को एयर इंडिया का बताया जा रहा,https://www.facebook.com/permalink.php?story_fbid=540083598015717&id=100060422441272,FB User- Bablu Ji,यह वीडियो एयर इंडिया की फ्लाइट का है।,Air India Flight,NA,Hindi
Pragya Shukla,20th Dec 2022,https://www.vishvasnews.com/world/fact-check-picture-of-ronaldo-watching-a-match-at-italy-stadium-in-2018-is-being-shared-as-a-fifa-world-cup-match/,Fact Check : 2018 में इटली स्टेडियम में मैच देखते रोनाल्डो की तस्वीर को फीफा विश्व कप के मैच का बताकर किया जा रहा शेयर,https://www.facebook.com/photo?fbid=1147342002840190&set=a.352243229016742,Ew'r Sabik (Cyclist),क्रिस्टियानो रोनाल्डो कतर में अर्जेंटीना और फ्रांस के बीच हुए फाइनल मैच को देखते हुए।,fifa world cup,ronaldo,Hindi
Sharad Prakash Asthana,20th Dec 2022,https://www.vishvasnews.com/viral/fact-check-gujarat-banaskantha-bridge-fell-while-breaking/,"Fact Check: गुजरात के बनासकांठा में पुल को तोड़ते हुए गिरा एक हिस्सा, भ्रामक दावा वायरल",https://www.facebook.com/100047105527747/posts/543895460995282/,FB User- JVS Kushwah,गुजरात के बनासकांठा में एक निर्माणाधीन पुल गिर गया है।,Gujarat Banskantha Bridge,NA,Hindi
Sharad Prakash Asthana,19th Dec 2022,https://www.vishvasnews.com/education/fact-check-national-education-policy-2020-10th-board-is-continuing/,"Fact Check: नई शिक्षा नीति के तहत एमफिल बंद होने की हुई थी बात, 10वीं बोर्ड नहीं हुआ है खत्म",https://www.facebook.com/100063566417468/posts/pfbid02auBDTkg6fdkzrdkRSS6d9cQtV6hKmAWpZnnWKyFuTnDFepsk5NL3osK2yxPT9Wxsl/?mibextid=Nif5oz,FB User- हिंदी प्राध्यापक पंकज वर्मा,नई राष्ट्रीय शिक्षा नीति के तहत एमफिल और 10वीं बोर्ड खत्म।,10th Board and MPhil,NA,Hindi
Jyoti,19th Dec 2022,https://www.vishvasnews.com/viral/fact-check-bbc-hindi-fake-screenshot-going-viral/,Fact Check : BBC के नाम पर बने फर्जी ट्वीट से साधा जा रहा शाहरुख खान की फिल्म पठान पर निशाना,https://www.facebook.com/photo?fbid=104943059142959&set=a.101723829464882,फेसबुक यूजर -एक हिंदुस्तानी भाई,पठान की पहले दिन की कमाई पाकिस्तानी NGO को डोनेट करेंगे शाहरूख खान।,BBC Screenshot ,Shahrukh Khan,Hindi
