Author,Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language
Sharad Prakash Asthana,4th Dec 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-post-claiming-cancelation-of-death-sentence-of-eight-indians-in-qatar-is-wrong/,Fact Check: Viral Post Claiming Cancelation Of Death Sentence Of Eight Indians In Qatar Is Wrong,https://www.facebook.com/kangres.mukt.bharat/posts/pfbid02kpui8Ap26b6WtxhZ4UwVWPmdfa94Y5umpAbzQHiE9AHNTsrMZMFxQQuxESTLX7hil,Facebook user 'Congress Mukt Bharat',Qatar has announced the cancellation of death sentences of eight people.,cancelation of death sentence of eight indians,Qatar,English 
Pragya Shukla,28th Nov 2023,https://www.vishvasnews.com/english/viral/fact-check-edited-video-of-david-warner-removing-cold-drink-bottles-going-viral-with-misleading-claims-2/,Fact Check: Edited Video Of David Warner Removing Cold Drink Bottles Going Viral With Misleading Claims,https://perma.cc/738T-LR84,Fb User: Khan Saba,David Warner Removing Coca Cola Bottles,Coca Cola Bottles,David Warner,English 
Sharad Prakash Asthana,24th Nov 2023,https://www.vishvasnews.com/english/viral/fact-check-fake-pictures-going-viral-claiming-rohit-sharma-mohd-shami-and-pat-cummins-touched-pm-modis-feet-after-world-cup-final/,"Fact Check: Fake Pictures Going Viral Claiming Rohit Sharma, Mohd Shami And Pat Cummins Touched PM Modi’s Feet After World Cup Final",https://perma.cc/F8W5-XYVD,Facebook user 'LS Meena' posted a reel on November 20 claiming that Rohit Sharma welcomed PM Modi after Team India's defeat by touching his feet.,"Rohit, Shami and Pat Cummins touched the feet of PM Modi.",World Cup Cricket Final,"rohit sharma, mohammed shami, pat cummins",English 
Pragya Shukla,22nd Nov 2023,https://www.vishvasnews.com/english/politics/fact-check-akhilesh-yadav-and-yogi-adityanaths-2017-photo-going-viral-with-false-claims/,Fact Check: Akhilesh Yadav And Yogi Adityanath’s 2017 Photo Going Viral With False Claims,https://perma.cc/DGY7-GBAQ,Fb Page: My News,Yogi Adityanath has aligned himself with Akhilesh Yadav and is actively supporting the Samajwadi Party in Madhya Pradesh.,Campaigning for SP,Yogi Adityanath ,English 
Pragya Shukla,21st Nov 2023,https://www.vishvasnews.com/english/politics/fact-check-question-related-to-farmer-loan-waiver-wasnt-asked-in-kbc-viral-video-is-edited/,"Fact Check: Question Related To Farmer Loan Waiver Wasn’t Asked In KBC, Viral Video Is Edited",https://perma.cc/9GFQ-ZNTF,Facebook user 'Sukhdev Panse Fans Multai',Questions about the farmer loan waiver scheme in KBC,KBC,Kamal Nath government,English 
Pragya Shukla,16th Nov 2023,https://www.vishvasnews.com/english/politics/fact-check-video-of-cm-shivraj-talking-to-saints-is-edited-and-going-viral-with-false-claims/,Fact Check: Video Of CM Shivraj Talking To Saints Is Edited And Going Viral With False Claims,https://www.facebook.com/100035285822341/posts/3745584229011727/,Facebook user 'Sachin Soni',"Saint refused to campaign in favor of Shivraj and BJP,", MP elections, Shivraj Singh Chauhan ,English 
Ashish Maharishi,15th Nov 2023,https://www.vishvasnews.com/english/politics/fact-check-another-fake-post-going-viral-in-the-name-of-former-pm-manmohan-singh/,Fact Check: Another Fake Post Going Viral In The Name Of Former PM Manmohan Singh,https://perma.cc/DV9V-BNT7,Facebook user Ajit Chaudhary,"Indians wanted temples, and Congress kept building institutions like IIT, IIM, colleges, hospitals, airports, railways, dams, ISRO for 70 years, which have to be sold today",Congress,Dr. Manmohan Singh,English 
Pragya Shukla,10th Nov 2023,https://www.vishvasnews.com/english/viral/fact-check-old-videos-depicting-violence-during-caa-protests-in-bengal-going-viral-with-misleading-claims/,Fact Check: Old Videos Depicting Violence During CAA Protests In Bengal Going Viral With Misleading Claims,https://perma.cc/3J5B-59XE,Facebook user named 'Rohtash Bansal',Train whistle is disturbing in Namaz,Namaz,West Bengal,English 
Ashish Maharishi,2nd Nov 2023,https://www.vishvasnews.com/english/viral/fact-check-edited-video-of-kartik-aryan-goes-viral-in-the-name-of-supporting-congress/,Fact Check: Edited Video Of Kartik Aryan Goes Viral In The Name Of Supporting Congress,https://ghostarchive.org/archive/GXscH,"Facebook page INC posted a video on October 30 and wrote, “Bollywood actor Kartik Aryan extended his support to Congress and Kamal Nath ji in Madhya Pradesh assembly elections.” Considering the post to be true, other users are also making it viral.",बॉलीवुड अभिनेता कार्तिक आर्यन ने मध्य प्रदेश विधानसभा चुनाव में कांग्रेस और कमलनाथ जी को अपना समर्थन दिया।,MP Election,Kamal nath,English 
Sharad Prakash Asthana,31st Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-serial-blast-in-kerala-took-place-at-prayer-meet-of-christian-community-not-of-jews/,"Fact Check: Serial Blast In Kerala Took Place At Prayer Meet Of Christian Community, Not Of Jews",https://perma.cc/8VKJ-JN2N,"X user 'We The People' (archive link), which is a verified account, posted a collage of the video and wrote, “Look at the chronology. Yesterday, Hamas terrorist Khaled Mashal, speaking online from Qatar at an event in Kerala, asked people to prepare for jihad and take to the streets of India… Today 4 bomb blasts rock #Kerala, where Jews live in Kalamassery! This is a coordinated terrorist attack.. today on Jews.. tomorrow on others! Wake up India”","Bomb blasts were carried out targeting Jews in Kalamassery, Kerala.",Serial Blast,Kerala,English 
Devika Mehta,15th Sep 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-post-claiming-tata-motors-offering-g20-summit-gifts-is-a-scam/,Fact Check: Viral Post Claiming Tata Motors Offering G20 Summit Gifts Is A Scam,https://www.facebook.com/permalink.php?story_fbid=pfbid0fFpkK9bfckTheJpHrZw7Lcj1DdWMmY2iBnBrUyWK3MoHdMiz9n8JvQJv2tai5vT5l&id=100088989216425,Fb user: Ranjan Kumar,Tata Motors is offering free G20 summit gifts,Tata Motors Scam,Ratan Tata,English 
Ashish Maharishi,9th Sep 2023,https://www.vishvasnews.com/english/viral/fact-check-leopard-seen-with-villagers-in-viral-video-suffering-from-neurological-disorder-wasnt-drunk/,"Fact Check: Leopard Seen With Villagers In Viral Video Suffering From Neurological Disorder, Wasn’t Drunk",https://perma.cc/6DTB-JPNY,"Facebook user Sonu Singh posted a video on his account on September 4, claiming, “The leopard in village Taragarh drank raw alcohol from the distillery and forgot that it is a lion. And a man becomes a leopard after drinking alcohol.”",The leopard in village Taragarh drank raw alcohol from the distillery and forgot that it is a lion. And a man becomes a leopard after drinking alcoho,Wildlife,Ajmer,English 
Jyoti,17th Aug 2023,https://www.vishvasnews.com/english/viral/fact-check-video-of-cow-attacking-a-schoolgirl-is-from-chennai-not-faridabad/,"Fact Check: Video Of Cow Attacking A Schoolgirl Is From Chennai, Not Faridabad",https://perma.cc/BPB2-AM23,"Facebook user Narendra Kumar (archive link) shared the video on August 11, saying, ""When will the Haryana government take action against the Animal Husbandry Department? Such incidents happen every day. In Faridabad, a cow attacked a girl, leaving her seriously injured.""",Cow attacked a girl child in Faridabad,Cow Attack ,Faridabad,English 
Sharad Prakash Asthana,14th Aug 2023,https://www.vishvasnews.com/english/viral/fact-check-video-of-man-climbing-dome-of-gyanvapi-complex-going-viral-with-misleading-claims/,Fact Check: Video Of Man Climbing Dome Of Gyanvapi Complex Going Viral With Misleading Claims,https://perma.cc/48SK-TH8S,Facebook user named 'Sonam Hindu,"During the Gyanvapi survey being conducted on the orders of the court, a Muslim man is seen climbing the dome.",Gyanvapi Survey,Varanasi,English 
Sharad Prakash Asthana,10th Aug 2023,https://www.vishvasnews.com/english/politics/fact-check-old-vidoe-of-bittu-bajrangi-going-viral-with-false-claims-related-to-nuh-violence/,Fact Check: Old Video Of Bittu Bajrangi Going Viral With False Claims Related To Nuh Violence,https://twitter.com/WasiuddinSiddi1/status/1686824378548486150,Twitter user: Wasiuddin Siddiqui,Bittu Bajrangi can be seen shedding tears while discussing Nuh rally,Nuh Violence,Bittu Bajrangi,English 
Sharad Prakash Asthana,3rd Aug 2023,https://www.vishvasnews.com/english/viral/fact-check-old-video-from-bangladesh-going-viral-with-false-claims-relating-it-to-nuh-violence/,Fact Check: Old Video From Bangladesh Going Viral With False Claims Relating It To Nuh Violence,https://ghostarchive.org/archive/WYPOv,Twitter user 'Gopal Goswami,"If you do not wake up on Mewat, one day your end will also be like this",Nuh Violence,Mewat,English 
Devika Mehta,3rd Aug 2023,https://www.vishvasnews.com/english/viral/fact-check-worm-found-inside-capsicum-is-not-a-poisonous-snake-viral-claim-is-false/,Fact Check: Worm Found Inside Capsicum is Not a Poisonous Snake; Viral Claim is False, Poisonous Snake Found Inside Capsicum,Fb user: Adityakumar Gupta, Poisonous Snake Found Inside Capsicum,Worm Found Inside Capsicum,Green Capsicum,English 
Sharad Prakash Asthana,2nd Aug 2023,https://www.vishvasnews.com/english/politics/fact-check-old-pictures-being-linked-to-nuh-violence-and-shared-with-misleading-claims/,Fact Check: Old Pictures Being Linked To Nuh Violence And Shared With Misleading Claims,https://perma.cc/E5QK-8LJE,Twitter user 'Chandan Sharma',photos and videos to the Nuh incident,Nuh Violence,"Haryana, Mewat",English 
Sharad Prakash Asthana,26th Jul 2023,https://www.vishvasnews.com/english/politics/fact-check-picture-of-manipur-bjp-leader-and-his-son-going-viral-with-false-claim/,Fact Check: Picture Of Manipur BJP Leader And His Son Going Viral With False Claim,https://perma.cc/U8L6-6VVT,Twitter user 'Hashim Salam,The accused are from Manipur. You can easily identify them by their clothes,BJP leaders,Manipur Violence,English 
Devika Mehta,24th Jul 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-video-is-related-to-space-x-rocket-liftoff-falsely-linked-to-chandrayaan-3-launch/,"Fact Check: Viral Video Is Related to Space X Rocket Liftoff, Falsely Linked To Chandrayaan-3 Launch",https://www.facebook.com/mohan.nagwani/posts/pfbid0ynCYQKvqEGBsZYW1sgEgJpx5mZEKQwLTD4f7X2p1q2RfQXjLuy7zdhuSsmuLa4MAl,Fb user: Mohan Nagwani,Video captured from Indigo flight is of Chandrayaan 3,Space X Rocket Liftoff,Chandrayaan3,English 
