Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language,Image
11th May 2023,https://www.vishvasnews.com/english/politics/fact-check-4-year-old-video-of-actor-prakash-raj-being-linked-to-karnataka-elections/,Fact Check: 4-Year-Old Video of actor Prakash Raj being linked to Karnataka elections,https://www.facebook.com/premayogan/posts/938725807442664/,Fb user: Premayogan,Prakash Raj urges people to not vote for Congress in Karnataka elections,Prakash Raj urges people to not vote for Congress,Prakash Raj,English,
11th May 2023,https://www.vishvasnews.com/english/politics/fact-check-4-year-old-video-of-actor-prakash-raj-being-linked-to-karnataka-elections/,Fact Check: 4-Year-Old Video of actor Prakash Raj being linked to Karnataka elections,https://www.facebook.com/premayogan/posts/938725807442664/,Fb user: Premayogan,Prakash Raj urges people to not vote for Congress in Karnataka elections,Prakash Raj urges people to not vote for Congress,Prakash Raj,English ,
16th Aug 2023,https://www.vishvasnews.com/english/politics/fact-check-cji-did-not-urge-people-to-protest-to-save-democracy-viral-claim-is-fake-and-fabricated/,"Fact Check: CJI Did Not Urge People To Protest To Save Democracy, Viral Claim Is Fake And Fabricated",https://www.facebook.com/story.php?story_fbid=pfbid032sY5j7h8ZgB9yfnMUtM67ViYf2kbKyfchBLNDZ7yMKneiCmeGw85s3PGCWjJsvDkl&id=100044175892046&mibextid=Nif5oz,Indian athlete Vijender Singh,"To save the constitution and democracy, the CJI appealed to the people to take to the streets.",NA,Chief Justice DY Chandrachud,English ,
10th Sep 2023,https://www.vishvasnews.com/english/politics/fact-check-claim-of-getting-three-years-of-imprisonment-for-misbehaving-with-mosque-madarasa-staff-in-rajasthan-is-fake/,"Fact Check: Claim Of Getting Three Years Of Imprisonment For Misbehaving With Mosque, Madarasa Staff In Rajasthan Is Fake",https://www.facebook.com/permalink.php?story_fbid=pfbid0oZKq16QpqoDKiW9zsqSEcRMWiKXMTczAxGL1SsFe3JDinbqqFUgwx9NkdntKYmK6l&id=100076350603994,FB User- CP Bhakta,"The Rajasthan government has made a new law, under which misbehavior with the staff of a mosque or madrasa can lead to a punishment of three years.",Rajasthan Government,Ashok Gehlot,English,
10th Sep 2023,https://www.vishvasnews.com/english/politics/fact-check-claim-of-getting-three-years-of-imprisonment-for-misbehaving-with-mosque-madarasa-staff-in-rajasthan-is-fake/,"Fact Check: Claim Of Getting Three Years Of Imprisonment For Misbehaving With Mosque, Madarasa Staff In Rajasthan Is Fake",https://www.facebook.com/permalink.php?story_fbid=pfbid0oZKq16QpqoDKiW9zsqSEcRMWiKXMTczAxGL1SsFe3JDinbqqFUgwx9NkdntKYmK6l&id=100076350603994,FB User- CP Bhakta,"The Rajasthan government has made a new law, under which misbehavior with the staff of a mosque or madrasa can lead to a punishment of three years.",Rajasthan Government,Ashok Gehlot,English ,
10th Sep 2023,https://www.vishvasnews.com/english/politics/fact-check-claim-of-getting-three-years-of-imprisonment-for-misbehaving-with-mosque-madarasa-staff-in-rajasthan-is-fake/,"Fact Check: Claim Of Getting Three Years Of Imprisonment For Misbehaving With Mosque, Madarasa Staff In Rajasthan Is Fake",https://www.facebook.com/permalink.php?story_fbid=pfbid0oZKq16QpqoDKiW9zsqSEcRMWiKXMTczAxGL1SsFe3JDinbqqFUgwx9NkdntKYmK6l&id=100076350603994,FB User- CP Bhakta,"The Rajasthan government has made a new law, under which misbehavior with the staff of a mosque or madrasa can lead to a punishment of three years.",Rajasthan Government,Ashok Gehlot,English ,
14th Sep 2023,https://www.vishvasnews.com/english/politics/fact-check-edited-clip-from-rahul-gandhis-old-interview-viral-with-misleading-claim/,Fact Check: Edited Clip From Rahul Gandhi’s Old Interview Viral With Misleading Claim,Facebook group ‘Senior Citizens Group <60yrs++++++,Facebook group 'Senior Citizens Group <60yrs++++++',"when Rahul Gandhi was confronted with a challenging question during an interview, he remained silent and could not answer.","Please do not laugh after watching this serious interview, it is my humble request",Facebook group ‘Senior Citizens Group <60yrs++++++’,English,
14th Sep 2023,https://www.vishvasnews.com/english/politics/fact-check-edited-clip-from-rahul-gandhis-old-interview-viral-with-misleading-claim/,Fact Check: Edited Clip From Rahul Gandhi’s Old Interview Viral With Misleading Claim,Facebook group ‘Senior Citizens Group <60yrs++++++,Facebook group 'Senior Citizens Group <60yrs++++++',"when Rahul Gandhi was confronted with a challenging question during an interview, he remained silent and could not answer.","Please do not laugh after watching this serious interview, it is my humble request",Facebook group ‘Senior Citizens Group <60yrs++++++’,English ,
29th Sep 2023,https://www.vishvasnews.com/english/politics/fact-check-edited-photos-of-rahul-gandhi-with-badge-number-420-going-viral/,Fact Check: Edited Photos Of Rahul Gandhi With Badge Number 420 Going Viral,https://www.facebook.com/permalink.php?story_fbid=pfbid0xDpALwzff9VyEYRu81VYRuy4uXWTh1zrTauZ8WfobqoBVjLwgCPLAt2X2dEUVReLl&id=100005568338243,Fb user: Vinod Tiwari,Rahul Gandhi seen wearing a red shirt with the number 420 on his badge,Rahul Gandhi,Rahul Gandhi,English,
29th Sep 2023,https://www.vishvasnews.com/english/politics/fact-check-edited-photos-of-rahul-gandhi-with-badge-number-420-going-viral/,Fact Check: Edited Photos Of Rahul Gandhi With Badge Number 420 Going Viral,https://www.facebook.com/permalink.php?story_fbid=pfbid0xDpALwzff9VyEYRu81VYRuy4uXWTh1zrTauZ8WfobqoBVjLwgCPLAt2X2dEUVReLl&id=100005568338243,Fb user: Vinod Tiwari,Rahul Gandhi seen wearing a red shirt with the number 420 on his badge,Congress leader ,Rahul Gandhi,English ,
29th Sep 2023,https://www.vishvasnews.com/english/politics/fact-check-edited-photos-of-rahul-gandhi-with-badge-number-420-going-viral/,Fact Check: Edited Photos Of Rahul Gandhi With Badge Number 420 Going Viral,https://www.facebook.com/permalink.php?story_fbid=pfbid0xDpALwzff9VyEYRu81VYRuy4uXWTh1zrTauZ8WfobqoBVjLwgCPLAt2X2dEUVReLl&id=100005568338243,Fb user: Vinod Tiwari,Rahul Gandhi seen wearing a red shirt with the number 420 on his badge,Rahul Gandhi,Rahul Gandhi,English ,
8th Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-edited-video-of-pm-modi-going-viral-with-false-claim/,Fact-Check: Edited video of PM Modi going viral with false claim,https://www.facebook.com/ankitbhatnagarbijawar/posts/584069917188696/,Fb user: Hindu Ankit Bhatnagar,PM Modi watching an address by Dhirendra Krishna Shastri on television,PM Modi watching an address by Dhirendra Krishna Shastri,PM Modi,English,
8th Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-edited-video-of-pm-modi-going-viral-with-false-claim/,Fact-Check: Edited video of PM Modi going viral with false claim,https://www.facebook.com/ankitbhatnagarbijawar/posts/584069917188696/,Fb user: Hindu Ankit Bhatnagar,PM Modi watching an address by Dhirendra Krishna Shastri on television,PM Modi watching an address by Dhirendra Krishna Shastri,PM Modi,English ,
6th Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-edited-video-of-yogendra-yadav-going-viral-with-false-claim-related-to-his-religion/,Fact-Check: Edited video of Yogendra Yadav going viral with false claim related to his religion,https://www.facebook.com/laxman.pai.77/posts/3616827111971241/,Fb user: Laxman Pai,Yogendra Yadav\'s childhood friends and family members refer to him as Salim,Yogendra Yadav,Facebook user Lakshman Pai,English,
6th Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-edited-video-of-yogendra-yadav-going-viral-with-false-claim-related-to-his-religion/,Fact-Check: Edited video of Yogendra Yadav going viral with false claim related to his religion,https://www.facebook.com/laxman.pai.77/posts/3616827111971241/,Fb user: Laxman Pai,Yogendra Yadav\'s childhood friends and family members refer to him as Salim,Yogendra Yadav,Facebook user Lakshman Pai,English ,
14th Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-karnataka-cm-siddaramaiah-did-not-insult-footballers-old-video-of-bjp-regime-viral-with-false-claim/,"Fact Check: Karnataka CM Siddaramaiah Did Not Insult Footballers, Old Video of BJP Regime Viral With False Claim",https://www.facebook.com/viraj.revadekar/posts/279845741071036/,Facebook user Viraj Revadekar,Karnataka CM made the football team wait on the footpath,"Karnataka State Football Team recently won the Santosh Trophy in Saudi Arabia, and the Chief Minister of Karnataka behaved like this with these players.",Facebook user ‘Viraj Revadekar’,English,
14th Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-karnataka-cm-siddaramaiah-did-not-insult-footballers-old-video-of-bjp-regime-viral-with-false-claim/,"Fact Check: Karnataka CM Siddaramaiah Did Not Insult Footballers, Old Video of BJP Regime Viral With False Claim",https://www.facebook.com/viraj.revadekar/posts/279845741071036/,Facebook user Viraj Revadekar,Karnataka CM made the football team wait on the footpath,"Karnataka State Football Team recently won the Santosh Trophy in Saudi Arabia, and the Chief Minister of Karnataka behaved like this with these players.",Facebook user ‘Viraj Revadekar’,English ,
17th Jul 2023,https://www.vishvasnews.com/english/politics/fact-check-not-vegetable-seller-but-sp-leader-hired-bouncers-to-protest-against-rising-tomato-prices/,Fact Check: Not Vegetable Seller But SP Leader Hired Bouncers To Protest Against Rising Tomato Prices,https://www.instagram.com/p/CuezrXXBHcp/?utm_source=ig_embed&ig_rid=8f6b2b1e-19bb-45f2-a7dc-0f0997c93889,Instagram user 'naughtyworld',A vegetable seller in UP\'s Varanasi hired bouncers to prevent customers from stealing tomatoes,“I have hired bouncers because the price of tomatoes is very high… People are creating violence and looting tomatoes too.,Instagram user named ‘naughtyworld‘,English,
17th Jul 2023,https://www.vishvasnews.com/english/politics/fact-check-not-vegetable-seller-but-sp-leader-hired-bouncers-to-protest-against-rising-tomato-prices/,Fact Check: Not Vegetable Seller But SP Leader Hired Bouncers To Protest Against Rising Tomato Prices,https://www.instagram.com/p/CuezrXXBHcp/?utm_source=ig_embed&ig_rid=8f6b2b1e-19bb-45f2-a7dc-0f0997c93889,Instagram user 'naughtyworld',A vegetable seller in UP\'s Varanasi hired bouncers to prevent customers from stealing tomatoes,“I have hired bouncers because the price of tomatoes is very high… People are creating violence and looting tomatoes too.,Instagram user named ‘naughtyworld‘,English ,
