Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language,Image
26th Sep 2023,https://www.vishvasnews.com/punjabi/politics/fact-check-shiv-sena-leader-amit-aroras-viral-pictures-are-of-different-cases-going-viral-with-false-claims/,"Fact Check: ਸ਼ਿਵ ਸੈਨਾ ਆਗੂ ਅਮਿਤ ਅਰੋੜਾ ਦੀ ਵਾਇਰਲ ਹੋ ਰਹੀਆਂ ਤਸਵੀਰਾਂ ਵੱਖ-ਵੱਖ ਮਾਮਲੇ ਦੀ ਹੈ, ਗ਼ਲਤ ਦਾਅਵੇ ਨਾਲ ਹੋ ਰਹੀ ਵਾਇਰਲ",https://www.facebook.com/permalink.php?story_fbid=pfbid0LHkrrCkMk78qL7XbwhTDqWUKLQfcEdMUvDpgCdAp1rwNfU2NgSd6LxzAp4xrETZDl&id=100036822803170,ਬਲਰਾਜ ਸਿੰਘ ਸੰਧੂ,ਅਮਿਤ ਅਰੋੜਾ ਨੂੰ 2 ਕਿਲੋ ਚਿੱਟੇ ਸਣੇ ਕਾਬੂ ਕੀਤਾ ਗਿਆ ਹੈ।,Shiv sena,Amit Arora,Hindi,
27th Oct 2023,https://www.vishvasnews.com/punjabi/politics/fact-check-singer-kanwar-grewal-did-not-target-cm-bhagwant-mann-the-old-video-was-edited-and-went-viral/,"Fact Check: ਗਾਇਕ ਕੰਵਰ ਗਰੇਵਾਲ ਨੇ CM ਭਗਵੰਤ ਮਾਨ ‘ਤੇ ਨਹੀਂ ਸਾਧਿਆ ਨਿਸ਼ਾਨਾ, ਪੁਰਾਣੇ ਵੀਡੀਓ ਨੂੰ ਐਡਿਟ ਕਰ ਕੀਤਾ ਗਿਆ ਵਾਇਰਲ",https://www.facebook.com/santokh.bugga/posts/pfbid02zkHDBg9CuyyoLuPjRajCEuNm3hx9zbhrrN8jnHrjfwtEJLv95SRDFB6guk6pmyDYl,Santokh Singh Bugga Sarpanch,ਗਾਇਕ ਕੰਵਰ ਗਰੇਵਾਲ ਨੇ CM ਭਗਵੰਤ ਮਾਨ \'ਤੇ ਸਾਧਿਆ ਨਿਸ਼ਾਨਾ।,Bhagwant Mann,Kanwar Grewal,Hindi,
1st Sep 2023,https://www.vishvasnews.com/punjabi/politics/fact-check-the-picture-of-the-person-arrested-under-the-campaign-launched-by-the-bathinda-police-went-viral-with-false-claims/,Fact Check : ਬਠਿੰਡਾ ਪੁਲਿਸ ਵੱਲੋਂ ਚਲਾਈ ਗਈ ਮੁਹਿੰਮ ਤਹਿਤ ਗ੍ਰਿਫਤਾਰ ਕਿੱਤੇ ਗਏ ਵਿਅਕਤੀ ਦੀ ਤਸਵੀਰ ਗ਼ਲਤ ਦਾਅਵੇ ਨਾਲ ਵਾਇਰਲ,https://www.facebook.com/photo/?fbid=1453756628502610&set=a.130572537487699,ਜਸਵਿੰਦਰ ਮਾਕੜ ਰਾਮਗੜ੍ਹੀਆਂ,ਬਠਿੰਡਾ ਦੇ ਖੇਡ ਸਟੇਡੀਅਮ ਵਿੱਚ ਹੋਏ ਖੇਡਾਂ ਵਤਨ ਪੰਜਾਬ ਦੀਆਂ ਦੇ ਪ੍ਰੋਗਰਾਮ ਵਿੱਚ ਆਮ ਆਦਮੀ ਪਾਰਟੀ ਦਾ ਸਰਕਲ ਪ੍ਰਧਾਨ ਤੋਂ ਚੋਰੀ ਕੀਤੇ ਮਹਿੰਗੇ ਮੋਬਾਇਲ ਬਰਾਮਦ।,AAP Party,No,Hindi,
11th Oct 2023,https://www.vishvasnews.com/punjabi/politics/fact-check-the-viral-video-is-not-of-sanjay-dutt-but-of-singer-hansraj-hans/,"Fact Check: ਵਾਇਰਲ ਵੀਡੀਓ ਸੰਜੇ ਦੱਤ ਦਾ ਨਹੀਂ, ਗਾਇਕ ਹੰਸਰਾਜ ਹੰਸ ਦਾ ਹੈ",https://www.facebook.com/watch/?v=2334021090116718,Fateh vlog,ਸੱਜੇ ਦੱਤ ਪਿੰਡ ਮੁਸੇ ਵਿਚ।,Moosewala,Sanjay Dutt,Hindi,
12th Oct 2023,https://www.vishvasnews.com/punjabi/politics/fact-check-the-viral-video-of-cm-bhagwant-mann-and-sukhpal-singh-khaira-is-from-the-year-2015/,Fact Check: CM ਭਗਵੰਤ ਮਾਨ ਅਤੇ ਸੁਖਪਾਲ ਸਿੰਘ ਖਹਿਰਾ ਦਾ ਵਾਇਰਲ ਹੋ ਰਿਹਾ ਵੀਡੀਓ ਸਾਲ 2015 ਦਾ ਹੈ,https://www.facebook.com/reel/338598958728244,ਫੇਸਬੁੱਕ ਪੇਜ - ਕਾਂਗਰਸ ਦਾ ਜੀਜਾ,ਕੁਰਸੀ ਦੀ ਭੁੱਖ ਥੁੱਕ ਚਟਾ ਹੀ ਦਿੰਦੀ ਆ ਨਹੀਂ ਯਕੀਨ ਆਪੇ ਦੇਖ ਲੋ ਖੈੜਾ ਕੀ ਕਰਦਾ।,SUKHPAL kHAIRA,Bhagwant Mann,Hindi,
19th Jul 2023,https://www.vishvasnews.com/punjabi/politics/fact-check-the-viral-video-of-pm-modi-watching-sidhu-moosewales-song-is-edited/,Fact Check : ਸਿੱਧੂ ਮੂਸੇਵਾਲੇ ਦੇ ਗਾਣੇ ਨੂੰ ਦੇਖਦੇ ਪੀਐਮ ਮੋਦੀ ਦਾ ਵਾਇਰਲ ਵੀਡੀਓ ਐਡੀਟੇਡ ਹੈ,https://www.facebook.com/reel/306817005127309,SIDHU MOOSE WALA,ਪੀਐਮ ਮੋਦੀ ਸਿੱਧੂ ਮੂਸੇਵਾਲੇ ਨੂੰ ਦੇਖਦੇ ਹੋਏ।,PM Modi,Sidhu Moosewala,Hindi,
7th Aug 2023,https://www.vishvasnews.com/punjabi/politics/fact-check-this-video-of-cm-bhagwant-mann-debating-with-journalists-is-from-the-year-2019/,Fact Check: ਪੱਤਰਕਾਰਾਂ ਨਾਲ ਬਹਿਸ ਕਰਦੇ CM ਭਗਵੰਤ ਮਾਨ ਦਾ ਇਹ ਵੀਡੀਓ ਸਾਲ 2019 ਦਾ ਹੈ,https://www.facebook.com/reel/1111472149830821,FB Page- ਇੱਕ ਅਜ਼ਾਦ ਸੋਚ,ਪੱਤਰਕਾਰਾਂ ਨਾਲ ਬਹਿਸ ਕਰਦੇ CM ਭਗਵੰਤ ਮਾਨ।,AAP Party,Bhagwant Mann,Hindi,
11th Sep 2023,https://www.vishvasnews.com/punjabi/politics/fact-check-this-video-of-policemen-beating-up-teachers-is-not-from-teachers-day/,Fact Check : ਅਧਿਆਪਕਾਂ ਨਾਲ ਕੁੱਟਮਾਰ ਕਰਦੇ ਪੁਲਿਸ ਕਰਮੀਆਂ ਦਾ ਇਹ ਵੀਡੀਓ ਸ਼ਿਕਸ਼ਕ ਦਿਵਸ ਦਾ ਨਹੀਂ ਹੈ,https://www.facebook.com/harmilap.grewal/videos/1335453410720860/,Harmilap Grewal,ਪੰਜਾਬ ਵਿੱਚ ਸ਼ਿਕਸ਼ਕ ਦਿਵਸ ਮਨਾਇਆ ਸਰਕਾਰ ਨੇ,AAP Party,Bhagwant Mann,Hindi,
19th Oct 2023,https://www.vishvasnews.com/punjabi/society/fact-check-fatehgarh-sahib-martyr-wall-is-not-being-demolished-sgpc-refutes-viral-claim/,"Fact Check: ਫਤਿਹਗੜ੍ਹ ਸਾਹਿਬ ਸ਼ਹੀਦੀ ਕੰਧ ਨੂੰ ਨਹੀਂ ਤੋੜਿਆ ਜਾ ਰਿਹਾ ਹੈ, SGPC ਨੇ ਵਾਇਰਲ ਦਾਅਵੇ ਦਾ ਕੀਤਾ ਖੰਡਨ",https://www.facebook.com/photo/?fbid=6707932082586445&set=a.157718017607917,FB User-Jatinder Nandiali,ਕਾਰਸੇਵਾ ਵਾਲੇ ਬਾਬੇ ਠੰਡੇ ਬੁਰਜ ਤੋ ਬਾਅਦ ਹੁਣ ਸਹੀਦੀ ਕੰਧ ਵੀ ਤੋੜਨ ਜਾ ਰਹੇ ਨੇ ਤੇ ਸਾਹਿਬਜਾਦਿਆ ਵਾਲੀ ਕੰਧ ਵਾਲੀ ਜਗਾਹ ਖਾਲੀ ਕਰਵਾ ਲਈ ਹੈ।,Fatehgarh Gurudwara,No,Hindi,
9th Aug 2023,https://www.vishvasnews.com/punjabi/society/fact-check-the-video-of-the-incident-in-kabul-in-the-year-2020-is-being-said-to-be-from-pakistan/,Fact Check: ਕਾਬੁਲ ਵਿੱਚ ਸਾਲ 2020 ਵਿੱਚ ਹੋਈ ਘਟਨਾ ਦੇ ਵੀਡੀਓ ਨੂੰ ਪਾਕਿਸਤਾਨ ਦਾ ਦੱਸਦੇ ਹੋਏ ਕੀਤਾ ਜਾ ਰਿਹਾ ਵਾਇਰਲ,https://www.facebook.com/jasmeet0722/videos/980751583159970,Jasmeet Singh,ਪਾਕਿਸਤਾਨ ਵਿੱਚ ਨਮਾਜ਼ ਸਮੇਂ ਗੁਰੁਦਵਾਰੇ ‘ਚ ਲਾਊਡ ਸਪੀਕਰ ਚਲਾਉਣ ਕਰਕੇ ਭੜਕੇ ਭਾਈਚਾਰੇ ਨੇ ਗ੍ਰੰਥੀਆਂ ਦਾ ਕਤਲ ਕਰ ਗੁਰੂ ਘਰ ‘ਚ ਭੰਨਤੋੜ ਕੀਤੀ।,Pakistan Attack,No,Hindi,
7th Jul 2023,https://www.vishvasnews.com/punjabi/society/fact-check-this-video-of-brutality-with-tribal-youth-is-from-the-old-incident-of-2021/,Fact Check: ਆਦਿਵਾਸੀ ਯੁਵਕ ਦੇ ਨਾਲ ਬਰਬਰਤਾ ਦਾ ਇਹ ਵੀਡੀਓ 2021 ਦੀ ਪੁਰਾਣੀ ਘਟਨਾ ਦਾ ਹੈ,https://www.facebook.com/100073479577864/videos/726464949489430,ਫ਼ਤਹਿ ਸਿੰਘ,ਇਹ ਘਟਨਾ ਕੁਝ ਦਿਨ ਪਹਿਲਾਂ ਮੱਧ ਪ੍ਰਦੇਸ਼ ਵਿੱਚ ਵਾਪਰੀ ਸੀ ਜਿੱਥੇ ਨੀਮਚ ਕਸਬੇ ਵਿੱਚ ਇੱਕ ਆਦਿਵਾਸੀ ਨੂੰ ਟਰੱਕ ਦੇ ਪਿੱਛੇ ਜਾਨਵਰਾਂ ਵਾਂਗ ਬੰਨ੍ਹ ਕੇ ਘਸੀਟਿਆ ਗਿਆ।,Religious,No,Hindi,
7th Nov 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-a-fake-claim-about-amritsars-preet-hospital-went-viral-again-on-social-media/,Fact Check: ਅੰਮ੍ਰਿਤਸਰ ਦੇ ਪ੍ਰੀਤ ਹਸਪਤਾਲ ਨੂੰ ਲੈ ਕੇ ਸੋਸ਼ਲ ਮੀਡੀਆ ‘ਤੇ ਫਿਰ ਵਾਇਰਲ ਹੋਇਆ ਫਰਜ਼ੀ ਦਾਅਵਾ,https://www.facebook.com/photo/?fbid=1697644727381859&set=a.599191010560575,ਫੇਸਬੁੱਕ ਯੂਜ਼ਰ -Kuldeep Singh,ਅੰਮ੍ਰਿਤਸਰ ਦੇ ਪ੍ਰੀਤ ਹਸਪਤਾਲ ਵਿੱਚ ਅੱਖਾਂ ਦਾ ਫ੍ਰੀ ਇਲਾਜ ਹੁੰਦਾ ਹੈ।,Free Eye operation,Preet Hospital Amritsar,Hindi,
13th May 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-an-old-picture-of-sukhbir-singh-badals-meeting-with-sidhu-moosewalas-father-balkaur-singh-is-going-viral/,Fact Check: ਸੁਖਬੀਰ ਸਿੰਘ ਬਾਦਲ ਦੀ ਸਿੱਧੂ ਮੂਸੇ ਵਾਲਾ ਦੇ ਪਿਤਾ ਬਲਕੌਰ ਸਿੰਘ ਨਾਲ ਮੁਲਾਕਾਤ ਦੀ ਪੁਰਾਣੀ ਤਸਵੀਰ ਹੋ ਰਹੀ ਹੈ ਵਾਇਰਲ,https://www.facebook.com/live24Punjabi/photos/a.1483497728544420/3727491050811732,Live 24 Punjabi,ਸੁਖਬੀਰ ਸਿੰਘ ਬਾਦਲ ਨੇ ਸਿੱਧੂ ਮੂਸੇ ਵਾਲਾ ਦੇ ਪਿਤਾ ਬਲਕੌਰ ਸਿੰਘ ਨਾਲ ਕੀਤੀ ਮੁਲਾਕਾਤ।,Sid,Sukhbir Badal,Hindi,
11th May 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-cm-bhagwant-manns-old-video-is-being-circulated-in-connection-with-the-jalandhar-by-election/,Fact Check: ਸੀਐਮ ਭਗਵੰਤ ਮਾਨ ਦੀ ਪੁਰਾਣੀ ਵੀਡੀਓ ਨੂੰ ਜਲੰਧਰ ਜ਼ਿਮਨੀ ਚੋਣ ਨਾਲ ਜੋੜਤੇ ਹੋਏ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਵਾਇਰਲ,https://www.facebook.com/pro.944023/videos/1521704771688431,Singh King,ਭਗਵੰਤ ਮਾਨ ਨੇ ਜਲੰਧਰ ਜਿਮਨੀ ਚੋਣ ਦੀ ਹਾਰ ਕੀਤੀ ਸਵੀਕਾਰ ।,AAP Party,Bhagwant Mann,Hindi,
27th Jun 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-fake-screenshot-of-pro-punjab-going-viral-about-former-jathedar-giani-harpreet-singh/,Fact Check : ਸਾਬਕਾ ਜਥੇਦਾਰ ਗਿਆਨੀ ਹਰਪ੍ਰੀਤ ਸਿੰਘ ਨੂੰ ਲੈ ਕੇ ਵਾਇਰਲ ਹੋ ਰਿਹਾ ਪ੍ਰੋ ਪੰਜਾਬ ਦਾ ਫਰਜੀ ਸਕ੍ਰੀਨਸ਼ੋਟ,https://www.facebook.com/groups/811023629094290/posts/2219030521626920/,Krishan Dev,ਗਿਆਨੀ ਹਰਪ੍ਰੀਤ ਸਿੰਘ ਨੇ ਬਿਆਨ ਦਿੰਦਿਆਂ ਕਿਹਾ ਹੈ ਕਿ ਸੁਖਬੀਰ ਬਾਦਲ ਕਰਕੇ ਉਨ੍ਹਾਂ ਵੱਲੋਂ ਅਸਤੀਫਾ ਦਿੱਤਾ ਗਿਆ ਹੈ।,Akal Takhat,Giani Harpreet singh,Hindi,
15th Jun 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-old-heartwarming-pictures-of-mother-and-newborn-baby-are-going-viral-with-misleading-claims/,Fact Check: ਮਾਂ ਅਤੇ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀਆਂ ਪੁਰਾਣੀ ਮਾਰਮਿਕ ਤਸਵੀਰਾਂ ਨੂੰ ਗੁੰਮਰਾਹਕੁਨ ਦਾਅਵੇ ਨਾਲ ਕੀਤਾ ਜਾ ਰਿਹਾ ਵਾਇਰਲ,https://www.facebook.com/photo?fbid=280687804359088&set=gm.927901878280450&idorvanity=272167107187267,Gurpreet Sekha Gurpreet Sekha,ਮਾਂ ਅਤੇ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀਆਂ ਇਹ ਤਸਵੀਰਾਂ ਰਾਜਸਥਾਨ ਦੇ ਕੋਟਾ ਦੀ ਹੈ।,NA,No,Hindi,
5th Jun 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-old-picture-of-lk-advani-protesting-against-congress-government-in-2008-goes-viral-with-wrong-claim/,Fact Check: ਕਾਂਗਰਸ ਸਰਕਾਰ ਦੇ ਖਿਲਾਫ 2008 ਵਿੱਚ ਪ੍ਰਦਰਸ਼ਨ ਕਰਦੇ ਐਲ ਕੇ ਅਡਵਾਨੀ ਦੀ ਪੁਰਾਣੀ ਤਸਵੀਰ ਗ਼ਲਤ ਦਾਅਵੇ ਨਾਲ ਵਾਇਰਲ,https://www.facebook.com/photo?fbid=1639141956592039&set=gm.206655905595127&idorvanity=173326202261431,Jaswant Singh Sidhu,ਲਾਲ ਕ੍ਰਿਸਨ ਅਡਵਾਨੀ ਮਹਿੰਗਾਈ ਖ਼ਿਲਾਫ਼ ਆਪਣੀ ਹੀ ਸਰਕਾਰ ਚ ਵਿਰੋਧ ਕਰਦੇ ਹੋਏ।,BJP,Lal Krishna Advani,Hindi,
19th Apr 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-rumors-of-bjp-leader-balwinder-gills-death-he-is-admitted-to-the-hospital/,"Fact Check : ਭਾਜਪਾ ਆਗੂ ਬਲਵਿੰਦਰ ਗਿੱਲ ਦੀ ਮੌਤ ਦੀ ਉਡੀ ਅਫਵਾਹ, ਭਰਤੀ ਹਨ ਹਸਪਤਾਲ ਵਿੱਚ",https://www.facebook.com/photo/?fbid=3198198823659981&set=a.751510624995492,Daljit Chatha,ਬਲਵਿੰਦਰ ਗਿੱਲ ਦੀ ਮੌਤ ਹੋ ਗਈ ਹੈ।,BJP,Balwinder Gill,Hindi,
19th Apr 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-rumors-of-bjp-leader-balwinder-gills-death-he-is-admitted-to-the-hospital/,"Fact Check : ਭਾਜਪਾ ਆਗੂ ਬਲਵਿੰਦਰ ਗਿੱਲ ਦੀ ਮੌਤ ਦੀ ਉਡੀ ਅਫਵਾਹ, ਭਰਤੀ ਹਨ ਹਸਪਤਾਲ ਵਿੱਚ",https://www.facebook.com/photo/?fbid=3198198823659981&set=a.751510624995492,Daljit Chatha,ਬਲਵਿੰਦਰ ਗਿੱਲ ਦੀ ਮੌਤ ਹੋ ਗਈ ਹੈ।,BJP,Balwinder Gill,Hindi,
22nd Apr 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-the-picture-of-the-incident-in-assam-in-2007-is-being-viral-in-the-name-of-uttarakhand/,Fact Check: 2007 ਵਿੱਚ ਅਸਮ ਵਿੱਚ ਹੋਈ ਘਟਨਾ ਦੀ ਤਸਵੀਰ ਨੂੰ ਉੱਤਰਾਖੰਡ ਦੇ ਨਾਮ ਨਾਲ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਵਾਇਰਲ,https://www.facebook.com/photo/?fbid=531926765815131&set=a.391351409872668,Deep Kaur,ਉੱਤਰਾਖੰਡ ਦੇ ਇੱਕ ਮੰਦਰ ਵਿੱਚ ਪੁਜਾਰੀ ਨੇ ਇੱਕ ਦਲਿਤ ਲੜਕੀ ਨੂੰ ਮੰਦਰ ਵਿੱਚ ਆਉਣ \'ਤੇ ਕੁੱਟਿਆ।,Golden temple,Uttarakhand Temple,Hindi,
3rd Jul 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-the-ptc-news-graphic-about-sgpc-president-harjinder-singh-dhami-that-went-viral-is-fake/,Fact Check : ਐਸਜੀਪੀਸੀ ਦੇ ਪ੍ਰਧਾਨ ਹਰਜਿੰਦਰ ਸਿੰਘ ਧਾਮੀ ਨੂੰ ਲੈ ਕੇ ਵਾਇਰਲ ਹੋਈ ਪੀ.ਟੀ.ਸੀ ਨਿਊਜ਼ ਦੀ ਗ੍ਰਾਫਿਕ ਫਰਜੀ ਹੈ,https://www.facebook.com/groups/385584760053136/posts/677644864180456/,Jass Bhullar,ਐਸਜੀਪੀਸੀ ਦੇ ਪ੍ਰਧਾਨ ਹਰਜਿੰਦਰ ਸਿੰਘ ਧਾਮੀ ਨੇ ਕਿਹਾ ਹੈ ਕਿ ਉਹ ਬੇਅਦਬੀ ਤੇ ਚੁੱਪ ਵੱਟ ਸਕਦੇ ਹਾਂ ਪਰ ਪ੍ਰਧਾਨ ਸਾਬ ਦੇ ਚੈਨਲ ਨੂੰ ਬੰਦ ਹੁੰਦਾ ਨਹੀਂ ਦੇਖ ਸਕਦੇ।,Amritsar Golden Temple,Bhagwant Mann,Hindi,
23rd Nov 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-the-rumor-of-congress-leader-gursimran-mands-death-is-going-viral-again/,Fact Check : ਕਾਂਗਰਸੀ ਆਗੂ ਗੁਰਸਿਮਰਨ ਮੰਡ ਦੇ ਦਿਹਾਂਤ ਦੀ ਅਫਵਾਹ ਫਿਰ ਤੋਂ ਹੋ ਰਹੀ ਹੈ ਵਾਇਰਲ,https://www.facebook.com/permalink.php?story_fbid=pfbid02MSBntNRX3ntXyyspS3E8P85do5YjJkqUEbDCoZpiqc6pFAT3mPX6sYAeSfxds6MJl&id=100090145308078,ਚੱਕ੍ਰਵਰਤੀ ਨਿਹੰਗ ਸਿੰਘ ਫੋਜਾਂ,ਐਕਸੀਡੈਂਟ ਵਿੱਚ ਗੁਰਸਿਮਰਨ ਸਿੰਘ ਮੰਡ ਦਾ ਦਿਹਾਂਤ ਹੋ ਗਿਆ ਹੈ।,Congress Leader,Gursimran Singh Mand,Hindi,
12th Jun 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-the-video-of-maharashtras-five-year-old-case-is-going-viral/,Fact Check: ਮਹਾਰਾਸ਼ਟਰਾ ਦੇ ਪੰਜ ਸਾਲ ਪੁਰਾਣੇ ਮਾਮਲੇ ਦੇ ਵੀਡੀਓ ਨੂੰ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਵਾਇਰਲ,https://www.facebook.com/100053026881048/videos/6346440885447992,ਕੌਮ ਦੇ ਵਾਰਿਸ,ਹਿੰਦੂ ਸੰਸਥਾ ਸੰਗਠਨ ਦੇ ਘਰੋਂ 8 ਬੰਬ ਬਰਾਮਦ।,NA,No,Hindi,
8th Jun 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-the-video-of-the-awareness-campaign-released-on-world-tobacco-day-is-being-shared-with-false-claims/,Fact Check: ਵਿਸ਼ਵ ਤੰਬਾਕੂ ਦਿਵਸ ‘ਤੇ ਕੱਢੇ ਗਏ ਜਾਗਰੂਕਤਾ ਅਭਿਆਨ ਦੇ ਵੀਡੀਓ ਨੂੰ ਗ਼ਲਤ ਦਾਅਵੇ ਨਾਲ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਸ਼ੇਅਰ,https://www.facebook.com/sikhfamil/videos/117611644680294?idorvanity=631210027469034,Dhan Baba Budha Ji Group,ਦਰਬਾਰ ਸਾਹਿਬ ਅੰਮ੍ਰਿਤਸਰ ਦੇ ਬਾਹਰ ਪ੍ਰੋਟੈਸਟ ਕਰਦੇ ਲੋਕ।,communal angle,No,Hindi,
23rd May 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-the-video-of-the-old-incident-of-gurdwara-sri-bangla-sahib-is-being-shared/,Fact Check: ਗੁਰਦੁਆਰਾ ਸ੍ਰੀ ਬੰਗਲਾ ਸਾਹਿਬ ਵਿਖੇ ਵਾਪਰੀ ਬੇਅਦਬੀ ਦੀ ਪੁਰਾਣੀ ਘਟਨਾ ਦੇ ਵੀਡੀਓ ਨੂੰ ਹਾਲ ਦਾ ਦੱਸਦੇ ਹੋਏ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਸ਼ੇਅਰ,https://www.facebook.com/100088767232741/videos/757451302501990,Singhtrucker,ਇੱਕ ਹੋਰ ਬੇਅਦਬੀ ਦੀ ਘਟਨਾ ਗੁਰੂਘਰ ਬੰਗਲਾ ਸਾਹਿਬ ਦਿੱਲੀ।,Bangla Sahib Gurudwara,NA,Hindi,
17th May 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-the-video-of-the-robbery-in-pakistan-is-being-made-viral-with-a-false-claim-that-it-is-from-punjab/,Fact Check: ਪਾਕਿਸਤਾਨ ਵਿੱਚ ਹੋਈ ਲੁੱਟ-ਖੋਹ ਦੇ ਵੀਡੀਓ ਨੂੰ ਪੰਜਾਬ ਦਾ ਦੱਸਦੇ ਹੋਏ ਗ਼ਲਤ ਦਾਅਵੇ ਨਾਲ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਵਾਇਰਲ,https://www.facebook.com/manjithokmehkamano1/videos/744514917373844,ਮੰਜੀ ਠੋਕ ਮਹਿਕਮਾਂ,ਲੁੱਟ-ਖੋਹ ਦਾ ਇਹ ਵੀਡੀਓ ਪੰਜਾਬ ਦਾ ਹੈ।,AAP Party,Bhagwant Mann,Hindi,
17th May 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-the-video-of-the-robbery-in-pakistan-is-being-made-viral-with-a-false-claim-that-it-is-from-punjab/,Fact Check: ਪਾਕਿਸਤਾਨ ਵਿੱਚ ਹੋਈ ਲੁੱਟ-ਖੋਹ ਦੇ ਵੀਡੀਓ ਨੂੰ ਪੰਜਾਬ ਦਾ ਦੱਸਦੇ ਹੋਏ ਗ਼ਲਤ ਦਾਅਵੇ ਨਾਲ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਵਾਇਰਲ,https://www.facebook.com/manjithokmehkamano1/videos/744514917373844,ਮੰਜੀ ਠੋਕ ਮਹਿਕਮਾਂ,ਲੁੱਟ-ਖੋਹ ਦਾ ਇਹ ਵੀਡੀਓ ਪੰਜਾਬ ਦਾ ਹੈ।,AAP Party,Bhagwant Mann,Hindi,
19th May 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-this-case-of-farmer-throwing-onions-on-the-road-is-from-2018-it-is-being-made-viral-by-saying-that-it-is-recent/,"Fact Check: ਕਿਸਾਨ ਵੱਲੋਂ ਸੜਕ ‘ਤੇ ਪਿਆਜ਼ ਸੁੱਟਣ ਦਾ ਇਹ ਮਾਮਲਾ 2018 ਦਾ ਹੈ, ਹਾਲ ਦਾ ਦਸਦੇ ਹੋਏ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਵਾਇਰਲ",https://www.facebook.com/watch/?v=244681501568956,Jagda deep ਜਗਦਾ ਦੀਪ,ਕਿਸਾਨ ਵੱਲੋਂ ਸੜਕ \'ਤੇ ਪਿਆਜ਼ ਸੁੱਟਣ ਦਾ ਇਹ ਮਾਮਲਾ ਹਾਲੀਆ ਹੈ।,Farmer,No,Hindi,
8th May 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-this-video-is-not-from-ludhiana-in-punjab-but-from-maharashtra/,"Fact Check: ਦਿਵਯਾਂਗ ਫਲ ਵਿਕ੍ਰੇਤਾ ਨੂੰ ਕੁੱਟਣ ਦਾ ਇਹ ਵੀਡੀਓ ਪੰਜਾਬ ਦੇ ਲੁਧਿਆਣਾ ਦਾ ਨਹੀਂ, ਮਹਾਰਾਸ਼ਟਰ ਦਾ ਹੈ",https://www.facebook.com/watch/?v=1401419927065396,Madhu badeyan,ਪ੍ਰਵਾਸੀ ਮਜ਼ਦੂਰਾਂ ਨੇ ਕੁੱਟਿਆ ਪੰਜਾਬੀ ਬੰਦਾ,Maharashtra Video,Punjab Video,Hindi,
11th Jul 2023,https://www.vishvasnews.com/punjabi/viral/fact-check-this-video-of-cars-floating-on-the-road-of-mohali-is-from-the-year-2017/,Fact Check: ਮੋਹਾਲੀ ਦੀ ਸੜਕ ‘ਤੇ ਤੈਰ ਰਹੀਆਂ ਕਾਰਾਂ ਦਾ ਇਹ ਵੀਡੀਓ ਸਾਲ 2017 ਦਾ ਹੈ,https://www.facebook.com/watch/?v=1689054978208433,Punjab Khabarnama,ਹਾਲੀਆਂ ਮੀਂਹ ਕਾਰਣ ਮੋਹਾਲੀ ਦੀ ਸੜਕ \'ਤੇ ਤੈਰਦੀਆਂ ਕਾਰਾਂ ਦਾ ਵੀਡੀਓ।,Mohali Flood,No,Hindi,
